,Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price,price,usage Gaming and Design,usage Engineering,usage desk work,url
1072,"Dell Latitude 5530 Intel Core i7-1255U/16GB/512GB SSD/15.6""",New,Dell,Latitude,Intel Core i7,16,512,SSD,,15.6,No,4136.051,High,False,True,True,https://i.ebayimg.com/thumbs/images/g/gakAAOSwBMdlfSdO/s-l300.jpg
1073,"Lenovo ThinkBook 16 G4+ IAP Intel Core i7-1255U/16GB/512GB SSD/16""",New,Lenovo,ThinkBook,Intel Core i7,16,512,SSD,,16.0,No,3823.478000000001,High,False,True,True,https://i.ebayimg.com/thumbs/images/g/b~gAAOSw5oBlXW-a/s-l300.jpg
1074,"Lenovo V17 G3 IAP Intel Core i5-1235U/16GB/512GB SSD/17.3""",New,Lenovo,V17,Intel Core i5,16,512,SSD,,17.3,No,3098.822,High,False,True,True,https://i.ebayimg.com/thumbs/images/g/AIUAAOSwVTBlgx6y/s-l225.jpg
1075,"Samsung Chromebook Go Intel Celeron N4500/4GB/64GB eMMC/14""",New,Samsung,Chromebook,Intel Celeron,4,64,eMMC,,14.0,No,1144.737,Low,False,False,True,https://i.ebayimg.com/thumbs/images/g/UgAAAOSwcHtlgwlA/s-l300.jpg
1076,"ASUS ROG Strix G17  G713PV-R97B46CB1 AMD Ryzen 9 7945HX/16GB/1TB SSD/RTX4060/17.3"" (PT)",New,Asus,ROG,AMD Ryzen 9,16,1000,SSD,RTX 4060,17.3,No,6829.517000000001,High,True,True,True,https://i.ebayimg.com/thumbs/images/g/MnsAAOSwoHxlgCCt/s-l300.jpg
1077,"Asus Rog Strix G15 G513QY-HQ008 AMD Ryzen 9 5900HX/16GB/1TB SSD/RX6800M/15.6""",Refurbished,Asus,ROG,AMD Ryzen 9,16,1000,SSD,,15.6,No,3870.629,High,True,True,True,https://i.ebayimg.com/thumbs/images/g/POcAAOSw07tlM-kn/s-l300.jpg
1078,"Apple MacBook Pro Intel Core i5 1.4GHz/8GB/256GB SSD/13.3"" Gris Espacial",Refurbished,Apple,MacBook Pro,Intel Core i5,8,256,SSD,,13.3,No,2353.52,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/97UAAOSwdpRkQSRN/s-l300.jpg
1079,"Lenovo ThinkPad P14s Gen 3 Intel Core i7-1260P/32GB/1TB SSD/Quadro T550/14""",New,Lenovo,ThinkPad,Intel Core i7,32,1000,SSD,T 550,14.0,No,7870.900000000001,High,True,True,True,https://i.ebayimg.com/thumbs/images/g/nK4AAOSwf-NlgObr/s-l225.jpg
1080,"Acer Aspire 3 A317-53G-54LF Intel Core i5-1135G7/8GB/512GB SSD/MX350/17.3""",Refurbished,Acer,Aspire,Intel Core i5,8,512,SSD,,17.3,No,2211.168,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/rwEAAOSwlwhjsgM7/s-l300.jpg
1081,"HP 15S-fq4015ns Intel Core i5-1155G7/8GB/512GB SSD/15.6""",New,HP,15S,Intel Core i5,8,512,SSD,,15.6,No,1643.5890000000002,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/o2MAAOSwjBpldIG4/s-l225.jpg
